combinations,pa_start,multiplicity,lob,total_pa,runs,seq_str,total_combinations
"(0, 0, 0, 0, 0)",0,1,0,3,0,___,"(0, 0, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,4,0,__0,"(1, 0, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,4,0,__1,"(0, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,4,0,__2,"(0, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,4,0,__3,"(0, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,0,4,1,__4,"(0, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_00,"(2, 0, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_01,"(1, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_02,"(1, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_03,"(1, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_04,"(1, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_10,"(1, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_11,"(0, 2, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_12,"(0, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_13,"(0, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_14,"(0, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_20,"(1, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,5,0,_21,"(0, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_22,"(0, 0, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_23,"(0, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_24,"(0, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_30,"(1, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_31,"(0, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_32,"(0, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_33,"(0, 0, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,5,1,_34,"(0, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,0,5,2,_40,"(1, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,5,2,_41,"(0, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,5,2,_42,"(0, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,5,2,_43,"(0, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,0,5,2,_44,"(0, 0, 0, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,000,"(3, 0, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,001,"(2, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,002,"(2, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,003,"(2, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,004,"(2, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,010,"(2, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,011,"(1, 2, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,012,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,013,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,014,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,020,"(2, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,021,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,022,"(1, 0, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,023,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,024,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,030,"(2, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,031,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,032,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,033,"(1, 0, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,034,"(1, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,040,"(2, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,041,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,042,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,043,"(1, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,044,"(1, 0, 0, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,100,"(2, 1, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,101,"(1, 2, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,102,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,103,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,104,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,110,"(1, 2, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,3,6,0,111,"(0, 3, 0, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,112,"(0, 2, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,113,"(0, 2, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,114,"(0, 2, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,120,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,121,"(0, 2, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,122,"(0, 1, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,123,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,124,"(0, 1, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,130,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,131,"(0, 2, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,132,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,133,"(0, 1, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,134,"(0, 1, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,140,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,141,"(0, 2, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,142,"(0, 1, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,143,"(0, 1, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,144,"(0, 1, 0, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,200,"(2, 0, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,201,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,202,"(1, 0, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,203,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,204,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,210,"(1, 1, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,211,"(0, 2, 1, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,212,"(0, 1, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,213,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,2,6,1,214,"(0, 1, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,220,"(1, 0, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,221,"(0, 1, 2, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,222,"(0, 0, 3, 0, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,223,"(0, 0, 2, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,224,"(0, 0, 2, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,230,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,231,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,232,"(0, 0, 2, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,233,"(0, 0, 1, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,234,"(0, 0, 1, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,240,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,241,"(0, 1, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,242,"(0, 0, 2, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,243,"(0, 0, 1, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,244,"(0, 0, 1, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,300,"(2, 0, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,301,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,302,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,303,"(1, 0, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,304,"(1, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,310,"(1, 1, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,311,"(0, 2, 0, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,312,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,313,"(0, 1, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,314,"(0, 1, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,320,"(1, 0, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,321,"(0, 1, 1, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,322,"(0, 0, 2, 1, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,323,"(0, 0, 1, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,324,"(0, 0, 1, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,330,"(1, 0, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,331,"(0, 1, 0, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,332,"(0, 0, 1, 2, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,333,"(0, 0, 0, 3, 0)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,334,"(0, 0, 0, 2, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,340,"(1, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,341,"(0, 1, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,342,"(0, 0, 1, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,343,"(0, 0, 0, 2, 1)"
"(0, 0, 0, 0, 0)",0,1,1,6,2,344,"(0, 0, 0, 1, 2)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,400,"(2, 0, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,401,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,402,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,403,"(1, 0, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,404,"(1, 0, 0, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,410,"(1, 1, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,411,"(0, 2, 0, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,412,"(0, 1, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,413,"(0, 1, 0, 1, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,414,"(0, 1, 0, 0, 2)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,420,"(1, 0, 1, 0, 1)"
"(0, 0, 0, 0, 0)",0,1,0,6,3,421,"(0, 1, 1, 0, 1)"
